"","latitude","longitude","count"
"488",-73.9078217,40.8185424,13
"489",-73.9899532,40.6977936,72
"490",-73.998747,40.7283339,30
"491",-73.9614289,40.577555,85
"492",-73.9913147,40.7173907,186
"493",-73.9148014,40.814888,126
"494",-73.9562105,40.8134463,667
"495",-73.9666464,40.7607719,153
"496",-73.9683862,40.612878,797
"497",-73.9136187,40.8523008,252
"498",-74.0813809,40.6248239,118
"499",-73.9033274,40.6418832,571
"500",-74.0008292,40.7399429,80
"501",-73.9687461,40.7582569,135
"502",-73.9744598,40.7507625,44
"503",-74.1004197,40.5763985,240
"504",-73.9972835,40.7194008,83
"505",-73.9485659,40.6414369,752
"506",-73.8326205,40.7601739,76
"507",-73.737165,40.708857,523
"508",-70.934205,41.6362152,81
"509",-74.1072426,40.6127543,292
"510",-73.8890281,40.7654021,156
"511",-73.9485659,40.6414369,752
"512",-73.9415721,40.65996,45
"513",-73.929696,40.705248,11
"514",-73.9617361,40.7641964,916
"515",-73.9577386,40.7710852,69
"516",-73.990517,40.7126086,137
"517",-74.014396,40.7036178,64
"518",-73.7323274,40.720252,24
"519",-73.9580258,40.6459145,506
"520",-73.9094013,40.8813777,57
"521",-74.0077298,40.7151912,174
"522",-73.9614289,40.577555,85
"523",-73.9879788,40.761446,149
"524",-73.7903995,40.7401437,603
"525",-73.9755775,40.6224668,161
"526",-73.9631313,40.6136033,802
"527",-73.9946697,40.7527053,146
"528",-73.8476264,40.8945859,3
"529",-73.9189152,40.6349533,280
"530",-73.9899532,40.6977936,72
"531",-73.9464625,40.8205972,26
"532",-74.0059728,40.7127753,1471
"533",-73.8287455,40.7763265,79
"534",-73.9550753,40.5821006,6
"535",-73.990189,40.6842031,15
"536",-73.8048112,40.7343623,143
"537",-73.9984746,40.7453063,165
"538",-73.7507005,40.6555099,15
"539",-73.8946438,40.8656544,652
"540",-73.945774,40.7254274,19
"541",-73.9417836,40.6202587,348
"542",-73.9683862,40.612878,797
"543",-73.8801257,40.7501911,458
"544",-73.9259438,40.8278208,41
"545",-73.9397819,40.8472299,151
"546",-73.9267847,40.6867079,68
"547",-73.9971756,40.7496505,54
"548",-74.00161,40.7261224,77
"549",-73.949845,40.6768827,108
"550",-73.9660415,40.7613278,108
"551",87.8549755,22.9867569,668
"552",-73.9817519,40.7327366,117
"553",-73.8173535,40.5885234,279
"554",-73.9282743,40.7472716,60
"555",-73.9882141,40.7607273,280
"556",-73.9342705,40.6515642,200
"557",-73.9947422,40.6183319,36
"558",-73.9426335,40.7257971,11
"559",-73.9050863,40.8327501,1987
"560",-73.784135,40.7238891,21
"561",-73.9909686,40.7552441,260
"562",-73.9339581,40.5996357,54
"563",-73.8857129,40.7592787,110
"564",-73.9964061,40.6940568,2
"565",-73.8537288,40.7109232,51
"566",-73.8853702,40.8700618,103
"567",-73.9860231,40.7638961,86
"568",-73.9326062,40.5925329,190
"569",-73.9978453,40.7255525,119
"570",-73.9584414,40.7705669,69
"571",-73.873036,40.7340415,933
"572",-73.9047654,40.6761271,1203
"573",-73.8697898,40.830898,263
"574",-73.9547878,40.8067025,32
"575",-73.9485659,40.6414369,752
"576",-73.9819623,40.7778632,64
"577",-73.9473563,40.7893534,68
"578",-73.9193943,40.6752022,22
"579",-73.9829758,40.5900334,4
"580",-73.9050863,40.8327501,1987
"581",-73.9551094,40.6192476,161
"582",-73.9297471,40.6463192,339
"583",-73.8963061,40.8335739,67
"584",-73.9551094,40.6192476,161
